,fips,cases,deaths,popdense,population,ageab55,ageab65,ageab75,diabetes,cases rate 10k,deaths rate 10k,deaths cases 10k,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,AR,AS,AT,AU,pct_highschool_or_less,% Adults with Diabetes,% Adults with Obesity
359,12085,7839,210,114.25188,160912,46.60373372,0.308802327,0.157340658,0.090000004,487.1606841,13.05061151,267.8913127,10.5,49.41707269,77.981752,5.222109,0.19203043,1.3982798,13.94116,9.037755966,24.88216591,31.99787903,34.0821991,33.91992188,9,19
360,12086,298872,4188,561.55414,2761581,28.7085912,0.16226647,0.075247114,0.079999998,1082.249624,15.16522601,140.1268771,18,48.54892904,13.028479,15.579663,0.082670036,1.5382855,69.059354,18.5518589,27.27969551,24.38281441,29.78563309,45.83155441,8,22
361,12087,4226,35,29.468254,75027,39.60440908,0.230130486,0.089421142,0.059999999,563.2638917,4.664987271,82.82063417,11.8,51.987951,65.756327,6.1324589,0.34654192,1.3568449,24.948353,8.580986023,26.70611191,30.3099575,34.40294647,35.28709793,6,22
362,12089,4775,66,51.088207,85832,37.71087706,0.22185199,0.083197409,0.11,556.3193215,7.689439836,138.2198953,10.2,49.22872588,86.856884,5.736788,0.366996,0.95069436,4.4785161,8.703055382,31.70983315,30.03176117,29.55535126,40.41288853,11,28
363,12091,12856,231,86.028969,207269,29.43662583,0.160125248,0.066391983,0.11,620.2567678,11.14493726,179.6826385,11.5,50.65735831,73.148423,9.6111819,0.54566772,3.0906696,9.6941657,7.605762482,24.73835945,36.54463959,31.11123848,32.34412193,11,27
364,12093,2430,51,20.858942,41537,32.7322628,0.197847702,0.092086573,0.14,585.0205841,12.27820979,209.8765432,22.7,53.66059176,63.020921,8.5249297,0.93892189,0.95095942,25.454414,22.82398415,39.49295425,26.34360313,11.33945847,62.3169384,14,33
365,12095,76457,748,590.63361,1380645,23.14693495,0.119378986,0.047127248,0.090000004,553.7774011,5.417757642,97.83276875,16.1,49.06004078,39.745048,20.23547,0.21040891,5.4893907,32.330108,11.46692467,24.36809921,29.57578468,34.58919144,35.83502388,9,25
366,12097,25344,288,107.01254,367990,23.97374929,0.132082394,0.051960651,0.11,688.7143672,7.826299628,113.6363636,16.3,49.31193782,30.778825,9.5600426,0.19810321,2.6579527,55.285472,13.26909447,31.25484657,33.67778397,21.79827309,44.52394104,11,30
367,12099,82888,1895,291.87961,1485941,37.20215002,0.239084863,0.123113233,0.1,557.8148796,12.75286165,228.6217547,12.8,48.50542518,54.082632,18.594883,0.16218679,2.8305296,22.919483,11.51069832,24.00349236,27.79343987,36.69237137,35.51419067,10,21
368,12101,21932,376,279.04257,539630,36.12475214,0.226275411,0.102323814,0.13,406.4266257,6.967737153,171.4389933,13.5,48.62702222,73.83244,5.5745602,0.27444731,2.5971498,15.79082,10.51403999,33.20866013,32.22869873,24.04860115,43.72270012,13,32
369,12103,44975,1049,1375.5583,975280,40.84006644,0.24776577,0.114720901,0.11,461.1496186,10.75588549,233.2406893,13,47.96858338,73.828441,10.459355,0.22701174,3.4997128,10.006562,8.712347984,27.96373367,31.61508751,31.70882988,36.67608166,11,25
370,12105,37403,790,152.10873,708009,32.49153612,0.202175396,0.088887288,0.15000001,528.284245,11.15805025,211.2130043,16.6,49.0006483,57.94884,14.631876,0.27316038,1.8504001,23.619615,14.95004845,34.7336998,30.14796257,20.16828918,49.68374825,15,37
371,12107,3990,72,39.340279,74163,38.60820085,0.231975513,0.09750145,0.17,538.004126,9.708345132,180.4511278,24.8,49.48424416,71.290267,15.844828,0.45170775,0.6175586,10.218033,18.1743412,41.22271729,28.29925156,12.30368996,59.39705849,17,39
372,12113,11180,128,68.400284,179349,29.88809528,0.15971653,0.06209123,0.11,623.3656168,7.136922983,114.490161,9.8,50.96432096,82.298201,6.1338507,0.71648015,2.0540956,5.701175,8.661984444,26.79878235,36.79665375,27.74258041,35.46076679,11,30
373,12115,18607,509,295.86292,426718,52.29730173,0.366773841,0.181965607,0.090000004,436.0491003,11.92825238,273.5529639,9.7,47.65254805,83.015716,4.3914247,0.17716618,1.7261986,9.3382515,6.905650139,28.91472435,28.76279831,35.41682816,35.82037449,9,21
374,12117,18083,314,583.80884,467832,28.50788317,0.155040698,0.063704492,0.090000004,386.5276424,6.711811077,173.6437538,11.4,48.31007712,59.578222,11.391483,0.21824073,4.7307581,21.981181,5.711937904,21.13580132,33.5579834,39.59427643,26.84773922,9,27
375,12109,13072,113,163.42345,254261,34.5467846,0.202469116,0.079147018,0.079999998,514.1173833,4.444252166,86.44430845,8.4,48.77547087,82.331932,5.223373,0.23007854,3.1141229,7.2028346,5.176381111,21.40505028,28.71461296,44.7039566,26.58143139,8,23
376,12111,14278,405,216.88228,321128,38.1744974,0.24134613,0.109949927,0.12,444.6202137,12.61179343,283.6531727,15,48.88237712,56.686431,19.818577,0.20801674,1.8821156,19.548902,13.68762398,33.20661163,31.48752022,21.61824417,46.89423561,12,30
377,12119,5085,120,89.23185,128754,71.48826444,0.575873371,0.245266166,0.16,394.9391864,9.320098793,235.9882006,8.8,49.85786849,85.098714,7.0335679,0.28037964,0.92657311,5.7497244,7.857518196,30.36333275,29.97834396,31.80080414,38.22085094,16,29
378,12121,4015,97,24.779879,44191,35.53438483,0.213663416,0.094453622,0.14,908.5560408,21.95017085,241.5940224,17.8,51.46523048,75.506324,12.39619,0.42316308,0.63135028,9.63092,17.66179466,38.92404175,27.94282913,15.47133446,56.58583641,14,38
